Id,Sales
1,4723.8384
2,6959.948
3,8280.423
4,6627.85
5,6178.5376
6,5562.162
7,8368.107
8,7946.6484
9,4341.2476
10,5853.005
11,6563.313
12,7847.961
13,6468.8115
14,7799.055
15,5348.2925
16,4770.5137
17,5027.4185
18,8241.962
19,10857.268
20,9057.791
21,7180.8706
22,5474.9883
23,5612.361
24,4744.365
25,7189.7563
26,8342.619
27,8694.505
28,5433.2085
29,5937.8496
30,5086.4434
31,4943.5444
32,10101.8545
33,6014.0767
34,4466.407
35,5656.111
36,7761.608
37,3968.7737
38,6128.7305
39,3947.9958
40,5737.8965
41,5309.3086
42,5560.738
43,6192.5674
44,5962.247
45,5216.9097
46,6530.301
47,6589.2017
48,9066.957
49,5241.017
50,7507.8506
51,8316.94
52,8858.936
53,6041.306
54,7400.765
55,4729.901
56,5085.121
57,6793.774
58,5841.684
59,8325.424
60,6682.572
61,5423.881
62,6145.3433
63,5977.586
64,8013.831
65,3862.293
66,12807.656
67,5258.115
68,6022.466
69,8221.625
70,5190.979
71,5822.315
72,5657.769
73,6490.729
74,4998.176
75,5203.4546
76,6818.0776
77,7304.776
78,7801.9424
79,5416.6187
80,7552.334
81,9507.927
82,6621.316
83,5056.313
84,5918.9434
85,6330.3223
86,6139.449
87,6177.285
88,4455.2964
89,7233.2163
90,6097.0693
91,6165.3384
92,6995.3677
93,4973.16
94,5294.0186
95,5774.0825
96,6941.444
97,9165.679
98,5238.6807
99,4641.7754
100,6766.939
101,5660.835
102,4981.092
103,8044.138
104,5905.98
105,7400.792
106,5587.6514
107,4969.714
108,5779.483
109,6719.142
110,8359.02
111,7045.463
112,7363.8374
113,5280.107
114,8052.2896
115,6018.0747
116,6484.179
117,7519.7563
118,6523.633
119,8908.866
120,6265.248
121,6749.203
122,5330.8154
123,7061.1436
124,6191.458
125,6460.469
126,4226.5664
127,5994.183
128,7297.844
129,5396.71
130,4707.686
131,7891.54
132,6616.788
133,5365.594
134,5928.066
135,5598.5586
136,7805.7866
137,7248.5347
138,6682.7886
139,5057.324
140,5435.0527
141,5836.4214
142,3874.2197
143,6584.978
144,4675.1323
145,7399.039
146,6832.525
147,6475.334
148,8627.22
149,6007.1035
150,4704.231
151,11140.817
152,7006.4795
153,6779.0625
154,7788.6484
155,4790.7583
156,5413.1626
157,5240.527
158,7873.2173
159,10845.416
160,5812.8994
161,3223.5981
162,4761.452
163,7262.4023
164,7316.0547
165,5443.682
166,7221.1064
167,5443.8447
168,5762.3486
169,3849.74
170,5363.7417
171,5700.246
172,5843.3516
173,6439.9497
174,5962.68
175,6641.052
176,7260.392
177,8098.9424
178,4436.0654
179,8471.709
180,9802.504
181,5206.199
182,8008.481
183,4968.7783
184,6220.803
185,3869.511
186,7644.9507
187,5135.8594
188,8664.793
189,7316.998
190,7212.026
191,8110.46
192,5308.5913
193,7488.4517
194,19036.654
195,8352.156
196,5985.858
197,2709.9133
198,5935.4585
199,9105.613
200,5332.062
201,15011.049
202,23734.664
203,4006.3591
204,5173.75
205,8317.167
206,5556.594
207,8845.381
208,6004.885
209,6961.1772
210,6375.703
211,6390.56
212,5419.743
213,6913.357
214,8049.338
215,5526.3545
216,5530.832
217,6605.7935
218,4917.152
219,4910.3115
220,7248.1323
221,4970.346
222,5213.6245
223,6810.993
224,6574.0215
225,5847.182
226,6855.072
227,6857.4624
228,7008.9355
229,6552.092
230,7304.44
231,5472.658
232,3662.4373
233,6016.9785
234,7369.8774
235,5531.5
236,4781.849
237,7960.1133
238,6022.7793
239,8049.513
240,6855.368
241,5452.304
242,5299.12
243,4531.681
244,8427.509
245,5266.28
246,7557.332
247,15632.493
248,6191.4487
249,6153.076
250,4797.7334
251,4923.965
252,6548.682
253,4140.1597
254,5885.1753
255,10180.962
256,5142.1562
257,18100.727
258,14486.069
259,4564.1655
260,5960.416
261,5548.217
262,6656.7354
263,6103.2783
264,8786.582
265,6818.1294
266,9441.585
267,4873.871
268,6463.3936
269,4581.9014
270,7371.355
271,5707.829
272,5410.987
273,6067.113
274,9163.929
275,6992.674
276,9189.611
277,5349.0693
278,9514.154
279,5763.078
280,9186.134
281,5093.404
282,5344.7373
283,5504.785
284,8036.0435
285,5402.3423
286,6405.0425
287,5758.6416
288,7522.503
289,4080.6091
290,8840.109
291,8108.009
292,4529.0747
293,12872.555
294,17109.781
295,6482.854
296,6131.0913
297,9204.053
298,9861.46
299,10824.457
300,6093.297
301,6930.6377
302,5439.597
303,7169.13
304,4663.6914
305,6337.716
306,5566.3345
307,5538.594
308,6543.6367
309,5468.185
310,4856.9775
311,5631.069
312,3668.1064
313,4734.543
314,5602.268
315,7026.9434
316,7428.9565
317,7250.8965
318,7452.4146
319,5454.8696
320,5474.863
321,12014.448
322,6865.347
323,5444.2334
324,4489.55
325,8116.3975
326,4574.022
327,7031.868
328,4094.159
329,5511.519
330,7078.3877
331,5473.294
332,4524.1426
333,7380.8066
334,8646.637
335,12633.792
336,6016.117
337,7912.542
338,3730.129
339,5436.237
340,6431.86
341,4578.789
342,8766.861
343,5432.597
344,5628.837
345,7671.888
346,11141.778
347,8181.933
348,4911.546
349,4817.5547
350,8326.813
351,6096.237
352,6726.8076
353,4825.3237
354,6512.8735
355,9812.808
356,4597.382
357,7386.292
358,6482.6147
359,7417.64
360,12412.019
361,5310.3477
362,13248.996
363,6163.765
364,5688.737
365,4357.92
366,7056.4824
367,5215.023
368,5372.2915
369,6778.615
370,4701.0474
371,5056.5127
372,6829.721
373,3857.5527
374,8059.6504
375,5941.9365
376,8904.691
377,7904.8574
378,4734.7246
379,8726.477
380,7022.051
381,5965.445
382,4824.883
383,5296.8105
384,10341.029
385,7081.335
386,5337.879
387,7315.986
388,7146.2373
389,6611.23
390,5321.262
391,7312.9023
392,6348.086
393,8234.106
394,5932.5483
395,7417.6855
396,6686.859
397,5988.83
398,5304.1772
399,5211.804
400,4174.0537
401,4519.2715
402,7065.3687
403,8137.6396
404,8856.348
405,8994.001
406,7241.164
407,5926.704
408,5507.2935
409,10463.248
410,8839.864
411,6144.7593
412,8097.262
413,7492.0737
414,5890.714
415,4884.9185
416,9927.705
417,5562.583
418,7264.0063
419,5704.615
420,2874.9038
421,10382.809
422,5197.528
423,4774.8096
424,5061.3833
425,5426.4224
426,7557.683
427,7027.165
428,6228.913
429,5408.223
430,4596.8843
431,4974.0845
432,3797.7712
433,6303.4053
434,22014.54
435,5259.1465
436,5322.4395
437,6962.779
438,5529.8433
439,5481.872
440,4710.5205
441,5070.1562
442,6464.2197
443,5958.5186
444,3948.7402
445,6837.328
446,5795.8965
447,4944.665
448,7843.9565
449,7243.3413
450,10359.474
451,5525.391
452,6879.0137
453,4753.222
454,6024.268
455,17264.19
456,8031.9526
457,6197.9077
458,5413.9976
459,4448.9233
460,5162.1494
461,5076.614
462,9539.817
463,5689.865
464,5997.7793
465,6547.306
466,4379.3794
467,5952.327
468,8145.308
469,6093.387
470,6004.9917
471,4798.2964
472,5192.802
473,5237.468
474,9052.403
475,7650.067
476,5808.472
477,4711.866
478,7160.233
479,6668.527
480,4479.232
481,6763.111
482,6514.4487
483,6074.1484
484,5820.646
485,6589.8022
486,5913.954
487,5844.371
488,7280.6284
489,5914.2666
490,6368.2944
491,7621.389
492,5551.628
493,4758.3076
494,9423.2295
495,5319.0483
496,4292.0894
497,7993.94
498,7246.863
499,10132.4375
500,5879.0664
501,6000.9336
502,5907.1255
503,7531.96
504,5445.6943
505,7725.185
506,3716.8723
507,6635.2334
508,5611.439
509,5737.741
510,5109.515
511,5843.0596
512,7558.775
513,6202.786
514,8658.783
515,6360.6533
516,7592.7173
517,4470.3896
518,6507.9595
519,6215.1167
520,6705.4766
521,7460.748
522,4381.0845
523,11147.212
524,6328.106
525,7404.7036
526,5704.7603
527,4181.1533
528,7160.0015
529,5566.5884
530,7573.0103
531,6197.258
532,6391.3726
533,6665.4644
534,6993.5396
535,5697.624
536,7287.3193
537,5462.6577
538,8613.734
539,9629.35
540,7103.323
541,5027.801
542,5889.8706
543,3856.1135
544,3720.4114
545,8154.686
546,5184.899
547,7940.9697
548,4135.341
549,6009.1323
550,5782.8086
551,9169.7705
552,4505.0347
553,4767.6016
554,5667.8223
555,6851.5464
556,4609.1875
557,6467.869
558,6804.829
559,10975.163
560,6341.7734
561,6526.466
562,5623.8696
563,4565.2773
564,4670.832
565,9762.964
566,8219.509
567,6396.5938
568,22022.06
569,5661.136
570,5037.1665
571,6822.062
572,7212.2583
573,8496.9
574,5886.3774
575,8255.233
576,7533.7896
577,7002.971
578,5803.67
579,5167.0737
580,5138.3486
581,4754.91
582,4763.2744
583,4955.764
584,7571.4004
585,17820.26
586,6017.072
587,5435.493
588,7208.4277
589,4233.465
590,5675.2046
591,4110.908
592,7409.879
593,5844.951
594,5990.344
595,12103.839
596,18340.367
597,6035.2183
598,6509.398
599,4517.7905
600,5912.679
601,6098.5166
602,7003.671
603,5064.1025
604,4204.1094
605,6355.8228
606,5069.1978
607,6659.4146
608,6290.627
609,4217.4604
610,6226.9717
611,7821.286
612,6646.4517
613,4822.275
614,4495.131
615,7040.8506
616,4833.477
617,8161.2837
618,4630.3164
619,4970.1855
620,5948.5127
621,5094.327
622,4298.5903
623,5363.2944
624,5967.3604
625,8204.824
626,7986.52
627,5136.7197
628,4946.077
629,5908.5483
630,6672.3154
631,5632.026
632,6199.732
633,5467.7983
634,9817.113
635,6424.447
636,5951.104
637,8456.281
638,5090.7017
639,7488.7017
640,5964.404
641,13513.38
642,5595.422
643,4948.668
644,5633.5874
645,4714.6035
646,7815.859
647,14275.431
648,4557.1577
649,4140.4414
650,8234.601
651,6987.163
652,6726.024
653,7951.0073
654,5965.331
655,4826.5425
656,5180.26
657,8476.832
658,5817.0215
659,7516.933
660,7600.6426
661,4577.1313
662,6662.953
663,6317.3955
664,4452.4736
665,8254.133
666,8301.421
667,5038.464
668,6593.7607
669,5847.121
670,4612.416
671,7049.2607
672,5491.868
673,7151.17
674,4925.4976
675,4758.3516
676,7017.341
677,3896.4358
678,7285.679
679,5170.8296
680,6127.1333
681,4846.422
682,5738.72
683,6667.9917
684,6239.8276
685,5899.1396
686,7339.343
687,5220.368
688,7417.0913
689,6742.3687
690,8354.884
691,8154.5884
692,7516.148
693,3245.8062
694,5868.587
695,6805.7124
696,4947.4326
697,8659.87
698,5049.8994
699,7658.8335
700,9639.465
701,6935.7695
702,4089.1729
703,9833.341
704,8405.16
705,5914.675
706,8411.025
707,9236.153
708,5238.6387
709,5883.2354
710,6578.653
711,6075.897
712,5944.566
713,6500.6636
714,4673.904
715,7991.269
716,6113.7964
717,7031.3047
718,6993.4287
719,6136.0464
720,7528.646
721,4454.6655
722,7145.7197
723,6565.261
724,5939.41
725,6797.682
726,6382.1963
727,8154.2075
728,5526.0
729,5521.5913
730,5353.8003
731,6097.685
732,7513.552
733,4884.314
734,4595.9224
735,7941.3706
736,10193.493
737,5262.3604
738,7208.6997
739,5463.429
740,7072.483
741,5052.455
742,4201.0605
743,5985.979
744,6138.3413
745,7341.18
746,9808.267
747,7700.4077
748,5373.5127
749,7505.174
750,5089.5757
751,3959.2163
752,7690.7007
753,12724.576
754,7045.758
755,6726.503
756,4854.411
757,5979.8604
758,8905.137
759,6078.3403
760,7342.4946
761,5494.7617
762,5599.4707
763,5608.2485
764,5138.5947
765,5882.603
766,4923.6533
767,4492.9385
768,4735.8906
769,6593.258
770,6873.9883
771,4886.5933
772,6650.6387
773,7013.411
774,6242.634
775,4825.018
776,8008.0957
777,7637.435
778,5094.2236
779,4175.867
780,12054.076
781,5117.25
782,5244.3735
783,7580.096
784,7419.2144
785,7325.074
786,6275.3906
787,7012.858
788,9462.478
789,13496.045
790,5448.6987
791,4505.7964
792,5077.2095
793,6851.6543
794,5144.13
795,8098.3726
796,7632.4976
797,5963.8604
798,4916.918
799,6486.446
800,8148.193
801,5081.6973
802,6183.979
803,5040.79
804,6013.6724
805,8291.855
806,6747.079
807,8217.965
808,6086.862
809,4140.0474
810,5843.1367
811,6804.185
812,9068.109
813,6888.4033
814,6523.5522
815,5690.615
816,5113.698
817,9139.496
818,4678.3145
819,9607.006
820,5416.045
821,3911.8682
822,7177.1313
823,6298.1353
824,6279.1943
825,7764.86
826,4889.587
827,4810.278
828,6273.051
829,6915.0034
830,8438.034
831,4826.7354
832,6191.1494
833,6425.519
